Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Cyclops,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,Midwest,1995,2:Recent,58,70,Extreme,Wood,Sit Down,75,1900,60,No,0,"Custom Coasters International, Inc.",43.6275,-89.771
Dahlonega Mine Train,Six Flags Over Georgia,Austell,Georgia,South,1967,1:Older,29,37,Thrill,Steel,Sit Down,47,2327,171,No,0,Arrow Dynamics,33.8369,-84.6307
Dare Devil Dive,Six Flags Over Georgia,Austell,Georgia,South,2011,3:Newest,52,95,Extreme,Steel,Sit Down,93,2099,92,Yes,3,Gerstlauer Amusement Rides GmbH,33.8369,-84.6307
Dark Knight,Six Flags Great America,Gurnee,Illinois,Midwest,2008,3:Newest,55,117.8,Thrill,Steel,Sit Down,45,1213,120,No,0,Mack Rides GmbH & Co KG,42.3751,-87.9397
Dark Knight,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2008,3:Newest,55,117.8,Thrill,Steel,Sit Down,45,1213,120,No,0,Mack Rides GmbH & Co KG,40.1052,-74.3528
Demon,California's Great America,Santa Clara,California,West,1980,2:Recent,50,102,Extreme,Steel,Sit Down,90,2130,105,Yes,4,Arrow Dynamics,37.3512,-121.9523
Demon,Six Flags Great America,Gurnee,Illinois,Midwest,1980,2:Recent,50,103.7,Extreme,Steel,Sit Down,90,2130,105,Yes,4,Arrow Dynamics,42.3751,-87.9397
Desert Storm,Castles n' Coasters,Phoenix,Arizona,West,1992,2:Recent,50,90,Extreme,Steel,Sit Down,85,2000,119,Yes,2,Hopkins,33.704,-112.3518
Desperado,Buffalo Bill's Resort & Casino,Primm,Nevada,West,1994,2:Recent,80,209,Extreme,Steel,Sit Down,225,5843,163,No,0,Arrow Dynamics,35.6128,-115.3903
Diamond Back,Frontier City,Oklahoma City,Oklahoma,South,1993,2:Recent,45,56,Extreme,Steel,Sit Down,47,635,66,Yes,1,Arrow Dynamics,35.4916,-97.5628
Diamond Mine Run,Magic Springs Theme and Water Park,Hot Springs,Arkansas,South,2000,3:Newest,10,16,Family,Steel,Sit Down,15,416,54,No,0,E&F Miler Industries,34.6437,-92.9976
Diamondback,Kings Island,Mason,Ohio,Midwest,2009,3:Newest,80,230,Extreme,Steel,Sit Down,215,5282,180,No,0,Bolliger & Mabillard,39.3601,-84.3099
Dinosaur Canyon,Deadwood,Williamston,North Carolina,South,2008,3:Newest,NA,8,Kiddie,Steel,Sit Down,NA,NA,154,No,0,B. A. Schiff & Associates,35.8212,-77.1022
Dominator,Kings Dominion,Doswell,Virginia,South,2008,3:Newest,65,157,Extreme,Steel,Sit Down,148,4210,129,Yes,5,Bolliger & Mabillard,37.8601,-77.4642
Doo Wopper,Morey's Piers,Wildwood,New Jersey,Northeast,2005,3:Newest,25,35,Thrill,Steel,Sit Down,15,885,75,No,0,Zamperla,39,-74.8167
Dragon,Legoland California,Carlsbad,California,West,1999,2:Recent,28,42.7,Family,Steel,Sit Down,NA,1400,177,No,0,Vekoma,33.1442,-117.3194
Dragon,Legoland Florida,Winter Haven,Florida,South,2004,3:Newest,28.5,42.7,Family,Steel,Sit Down,30,1099,66,No,0,Vekoma,27.9873,-81.7625
Dragon Coaster,Mile High Flea Market,Henderson,Colorado,West,2000,3:Newest,8,9,Family,Steel,Sit Down,NA,NA,45,No,0,Wisdom Rides,39.8792,-104.8836
Dragon Coaster,All Star Adventures,Wichita,Kansas,Midwest,2006,3:Newest,8,9,Family,Steel,Sit Down,NA,NA,45,No,0,Wisdom Rides,37.652,-97.259
Dragon Coaster,Las Vegas Mini Gran Prix,Las Vegas,Nevada,West,2000,3:Newest,8,9,Kiddie,Steel,Sit Down,NA,NA,45,No,0,Wisdom Rides,36.1737,-115.1065
Dragon Coaster,Playland Park,Rye,New York,Northeast,1929,1:Older,45,80,Family,Wood,Sit Down,60,3400,120,No,0,NA,40.9789,-73.6933
Dragon Coaster,Castle Fun Center,Chester,New York,Northeast,2018,3:Newest,8,9,Family,Steel,Sit Down,NA,NA,45,No,0,E&F Miler Industries,41.3626,-74.2713
Dragon Coaster,In The Game Funtrackers,Corpus Christi,Texas,South,2016,3:Newest,8,9,Family,Steel,Sit Down,NA,NA,45,No,0,Wisdom Rides,27.7978,-97.3991
Dragon Roller Coaster,Pixieland Amusement Park,Concord,California,West,1995,2:Recent,8,11,Family,Steel,Sit Down,8,280,90,No,0,Wisdom Rides,37.9537,-122.0229
Dragon Roller Coaster,Fiesta Village Family Fun Park,Colton,California,West,2016,3:Newest,8,9,Family,Steel,Sit Down,NA,NA,45,No,0,Wisdom Rides,34.0739,-117.3137
Dragonflier,Dollywood,Pigeon Forge,Tennessee,South,2019,3:Newest,46,63,Family,Steel,Suspended,NA,1486.2,103,No,0,Vekoma,35.786,-83.5622
El Loco,Adventuredome,Las Vegas,Nevada,West,2014,3:Newest,45,90,Extreme,Steel,Sit Down,80,1300,73,Yes,2,S&S Sansei Technologies,36.1737,-115.1065
El Toro,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2006,3:Newest,70,181,Extreme,Wood,Sit Down,176,4400,102,No,0,Intamin Amusement Rides,40.1052,-74.3528
Electric Eel,SeaWorld San Diego,San Diego,California,West,2018,3:Newest,62,150,Extreme,Steel,Sit Down,135,863,102,Yes,1,Premier Rides,32.7241,-117.1709
Emerald Coaster,Sam's Fun City,Pensacola,Florida,South,2018,3:Newest,NA,33,Thrill,Steel,Sit Down,NA,1100,80,No,0,Pinfari,30.4288,-87.2225
Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Northeast,1998,2:Recent,55,100,Extreme,Wood,Sit Down,82,2700,118,No,0,"Custom Coasters International, Inc.",43.5009,-70.4428
Excalibur,Valleyfair!,Shakopee,Minnesota,Midwest,1989,2:Recent,54.5,100,Thrill,Steel,Sit Down,105,2415,137,No,0,Arrow Dynamics,44.7986,-93.5194
Expedition Everest,Walt Disney World - Disney's Animal Kingdom,Lake Buena Vista,Florida,South,2006,3:Newest,50,112,Extreme,Steel,Sit Down,80,4424,170,No,0,Vekoma,28.3937,-81.529
Exterminator,Kennywood,West Mifflin,Pennsylvania,Northeast,1999,2:Recent,29.1,42.7,Thrill,Steel,Sit Down,50,1377.9,108,No,0,Reverchon,40.3625,-79.8984
Fahrenheit,Hersheypark,Hershey,Pennsylvania,Northeast,2008,3:Newest,58,121,Extreme,Steel,Sit Down,115,2700,85,Yes,6,Intamin Amusement Rides,40.2697,-76.6364
Fairly Odd Coaster,Nickelodeon Universe,Bloomington,Minnesota,Midwest,2004,3:Newest,31,54,Thrill,Steel,Sit Down,34,1345,90,No,0,Gerstlauer Amusement Rides GmbH,43.8666,-93.051
Family Coaster,Andretti Thrill Park,Melbourne,Florida,South,2015,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,28.0794,-80.6236
Family Flyer,Playland Park,Rye,New York,Northeast,2001,3:Newest,8,13,Family,Steel,Sit Down,9,262.5,30,No,0,Zamperla,40.9789,-73.6933
Fiesta Express,Fun Fore All Family Entertainment Center,Cranberry Township,Pennsylvania,Northeast,2003,3:Newest,NA,8,Family,Steel,Sit Down,NA,262,120,No,0,Zamperla,41.3242,-79.6235
Fiesta Express,Austin's Park N Pizza,Pflugerville,Texas,South,2013,3:Newest,NA,8,Family,Steel,Sit Down,NA,262,120,No,0,Zamperla,30.4427,-97.5971
Fire In The Hole,Silver Dollar City,Branson,Missouri,Midwest,1972,1:Older,27,36,Family,Steel,Sit Down,20,1380,195,No,0,NA,36.661,-93.2358
Firebird,Six Flags America,Upper Marlboro,Maryland,South,2012,3:Newest,55,100,Extreme,Steel,Sit Down,90,2900,120,Yes,2,Bolliger & Mabillard,38.8162,-76.7861
FireChaser Express,Dollywood,Pigeon Forge,Tennessee,South,2014,3:Newest,34.5,78,Family,Steel,Sit Down,72,2427,132,No,0,Gerstlauer Amusement Rides GmbH,35.786,-83.5622
Flash: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,California,West,2001,3:Newest,65,185,Extreme,Steel,Inverted,160,630,74,Yes,1,Intamin Amusement Rides,38.1874,-122.2241
Flashback,Six Flags New England,Agawam,Massachusetts,Northeast,2000,3:Newest,47,116.5,Extreme,Steel,Sit Down,34,935,108,Yes,3,Vekoma,42.0695,-72.6148
Flashback,Great Escape,Queensbury,New York,Northeast,1997,2:Recent,47,116.5,Extreme,Steel,Sit Down,NA,935,108,Yes,3,Vekoma,43.341,-73.6859
Flight Deck,California's Great America,Santa Clara,California,West,1993,2:Recent,50,102,Extreme,Steel,Inverted,91,2260,146,Yes,3,Bolliger & Mabillard,37.3512,-121.9523
Flight of Fear,Kings Island,Mason,Ohio,Midwest,1996,2:Recent,54,74.2,Extreme,Steel,Sit Down,NA,2705,60,Yes,4,Premier Rides,39.3601,-84.3099
Flight of Fear,Kings Dominion,Doswell,Virginia,South,1996,2:Recent,54,74.2,Extreme,Steel,Sit Down,NA,2705,144,Yes,4,Premier Rides,37.8601,-77.4642
Flight of the Hippogriff,Universal Studios Hollywood,Universal City,California,West,2016,3:Newest,28,43,Family,Steel,Sit Down,30,984.3,70,No,0,Mack Rides GmbH & Co KG,34.1389,-118.3534
Flight of the Hippogriff,Universal Studios Islands of Adventure,Orlando,Florida,South,2000,3:Newest,28.5,42.7,Family,Steel,Sit Down,30,1099.1,66,No,0,Vekoma,28.5452,-81.3733
Flying Ace Aerial Chase,Kings Island,Mason,Ohio,Midwest,2001,3:Newest,26,48.6,Family,Steel,Inverted,NA,1122.1,90,No,0,Vekoma,39.3601,-84.3099
Flying Cobras,Carowinds,Charlotte,North Carolina,South,2009,3:Newest,47,116.5,Extreme,Steel,Sit Down,116,935,108,Yes,3,Vekoma,35.26,-80.8042
Flying Dragon,Funderland Amusement Park,Sacramento,California,West,1990,2:Recent,8,11,Kiddie,Steel,Sit Down,8,280,90,No,0,Wisdom Rides,38.3805,-121.5554
Flying School,Legoland Florida,Winter Haven,Florida,South,2004,3:Newest,26,48.6,Family,Steel,Inverted,NA,1122.1,90,No,0,Vekoma,27.9873,-81.7625
Flying Turns,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,2013,3:Newest,24,50,Thrill,Wood,Bobsled,NA,1300,113,No,0,NA,40.8594,-76.5508
Frankie's Mine Train,Great Escape,Queensbury,New York,Northeast,2005,3:Newest,16.1,13,Family,Steel,Sit Down,10,262.5,NA,No,0,Zamperla,43.341,-73.6859
Frankie's Mine Train,Frontier City,Oklahoma City,Oklahoma,South,2019,3:Newest,NA,13,Family,Steel,Sit Down,NA,262.5,NA,No,0,Zamperla,35.4916,-97.5628
Freedom Flyer,Fun Spot America,Orlando,Florida,South,2013,3:Newest,34.2,64.3,Family,Steel,Suspended,NA,1295.9,61,No,0,Vekoma,28.5452,-81.3733
Freedom Rider,iPlay America,Freehold,New Jersey,Northeast,2016,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,40.2364,-74.3063
Freeway Coaster,Adventure City,Anaheim,California,West,1994,2:Recent,NA,16,Kiddie,Steel,Sit Down,13,280,57,No,0,E&F Miler Industries,33.845,-117.9522
Full Throttle,Six Flags Magic Mountain,Valencia,California,West,2013,3:Newest,70,164,Extreme,Steel,Sit Down,NA,2200,90,Yes,2,Premier Rides,34.4658,-118.5538
FunCoaster,Funplex,Mount Laurel,New Jersey,Northeast,2013,3:Newest,26.7,36.1,Thrill,Steel,Sit Down,NA,1017.1,100,No,0,SBF Visa Group,39.9559,-74.9173
Fury 325,Carowinds,Charlotte,North Carolina,South,2015,3:Newest,95,325,Extreme,Steel,Sit Down,320,6602,160,No,0,Bolliger & Mabillard,35.26,-80.8042
Gadget's Go Coaster,Disneyland,Anaheim,California,West,1993,2:Recent,21.7,27.9,Family,Steel,Sit Down,20,679.2,44,No,0,Vekoma,33.845,-117.9522
Galaxi,Cliff's Amusement Park,Albuquerque,New Mexico,West,1977,1:Older,35,45,Thrill,Steel,Sit Down,32,1650,122,No,0,S.D.C.,35.1996,-106.6448
Galaxi,Sylvan Beach Amusement Park,Sylvan Beach,New York,Northeast,1993,2:Recent,35,45,Thrill,Steel,Sit Down,32,1650,122,No,0,S.D.C.,43.2067,-75.7214
Galaxi,Joyland Amusement Park,Lubbock,Texas,South,1991,3:Newest,31,45,Thrill,Steel,Sit Down,32,1650,122,No,0,S.D.C.,33.5888,-101.8504
Galaxy Spin,Fun Spot America,Kissimmee,Florida,South,2011,3:Newest,29.1,42.7,Thrill,Steel,Sit Down,NA,1377.9,90,No,0,Zamperla,28.3064,-81.4255
GaleForce,Playland's Castaway Cove,Ocean City,New Jersey,Northeast,2017,3:Newest,64,125,Extreme,Steel,Sit Down,100,1269,60,Yes,2,S&S Sansei Technologies,39.2485,-74.6044
GateKeeper,Cedar Point,Sandusky,Ohio,Midwest,2013,3:Newest,67,170,Extreme,Steel,Wing,164,4164,160,Yes,6,Bolliger & Mabillard,41.3991,-82.7244
Gauntlet,Magic Springs Theme and Water Park,Hot Springs,Arkansas,South,2004,3:Newest,49.7,109,Extreme,Steel,Inverted,95,2260,96,Yes,5,Vekoma,34.6437,-92.9976
Gemini,Cedar Point,Sandusky,Ohio,Midwest,1978,1:Older,60,125.3,Thrill,Steel,Sit Down,118,3935,140,No,0,Arrow Dynamics,41.3991,-82.7244
Genesis Kidz Koaster,Modern Woodmen Park,Davenport,Iowa,Midwest,2017,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,41.521,-90.5748
Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,South,1999,2:Recent,54,107,Extreme,Steel,Stand Up,101,3000,84,Yes,2,Bolliger & Mabillard,33.8369,-84.6307
GhostRider,Knott's Berry Farm,Buena Park,California,West,1998,2:Recent,56,118,Extreme,Wood,Sit Down,108,4533,160,No,0,"Custom Coasters International, Inc.",33.8463,-118.01220000000001
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,West,1924,1:Older,55,70,Thrill,Wood,Sit Down,65,2640,112,No,0,NA,37.0527,-122.1111
Giant Dipper,Belmont Park,San Diego,California,West,1925,1:Older,55,73,Thrill,Wood,Sit Down,62,2600,113,No,0,NA,32.7241,-117.1709
Gilbeau's Galaxi,Blue Bayou Dixie Landin',Baton Rouge,Louisiana,South,2001,3:Newest,35,45,Thrill,Steel,Sit Down,32,1650,93,No,0,S.D.C.,30.4492,-91.1856
Go Bananas!,Wild Adventures,Valdosta,Georgia,South,2000,3:Newest,28,49.3,Thrill,Steel,Sit Down,21,1213.9,70,No,0,Maurer Rides GmbH,30.7539,-83.3321
Gold Rusher,Six Flags Magic Mountain,Valencia,California,West,1971,1:Older,35,70,Thrill,Steel,Sit Down,35,2590,150,No,0,Arrow Dynamics,34.4658,-118.5538
Gold Striker,California's Great America,Santa Clara,California,West,2013,3:Newest,53.7,108.2,Extreme,Wood,Sit Down,103,3197,150,No,0,Great Coasters International,37.3512,-121.9523
Goliath,Six Flags Magic Mountain,Valencia,California,West,2000,3:Newest,85,235,Extreme,Steel,Sit Down,255,4500,180,No,0,Giovanola,34.4658,-118.5538
Goliath,Six Flags Over Georgia,Austell,Georgia,South,2006,3:Newest,70,200,Extreme,Steel,Sit Down,175,4480,210,No,0,Bolliger & Mabillard,33.8369,-84.6307
Goliath,Six Flags Great America,Gurnee,Illinois,Midwest,2014,3:Newest,72,165,Extreme,Wood,Sit Down,180,3100,117,Yes,2,Rocky Mountain Construction,42.3751,-87.9397
Goliath,Six Flags New England,Agawam,Massachusetts,Northeast,2012,3:Newest,65.6,191.6,Extreme,Steel,Inverted,177,1204,92,Yes,3,Vekoma,42.0695,-72.6148
Goliath,Six Flags Fiesta Texas,San Antonio,Texas,South,2008,3:Newest,50,105,Extreme,Steel,Inverted,80,2693,120,Yes,5,Bolliger & Mabillard,29.4684,-98.5289
Goofy's Sky School,Disney California Adventure Park,Anaheim,California,West,2001,3:Newest,27,50,Thrill,Steel,Sit Down,20,1214,90,No,0,Mack Rides GmbH & Co KG,33.845,-117.9522
Gotham City Gauntlet Escape from Arkham Asylum,Six Flags New England,Agawam,Massachusetts,Northeast,2011,3:Newest,28,49.3,Thrill,Steel,Sit Down,25,1213.9,92,No,0,Maurer Rides GmbH,42.0695,-72.6148
Grand Exposition Coaster,Silver Dollar City,Branson,Missouri,Midwest,2006,3:Newest,NA,13,Family,Steel,Sit Down,NA,262,NA,No,0,Zamperla,36.661,-93.2358
Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,South,1973,1:Older,57,105,Extreme,Wood,Sit Down,89,3450,120,No,0,"Philadelphia Toboggan Coasters, Inc.",33.8369,-84.6307
Great Bear,Hersheypark,Hershey,Pennsylvania,Northeast,1998,2:Recent,58,90,Extreme,Steel,Inverted,124,2800,175,Yes,4,Bolliger & Mabillard,40.2697,-76.6364
Great Chase,Six Flags America,Upper Marlboro,Maryland,South,1999,2:Recent,6,15,Family,Steel,Sit Down,10,262.5,66,No,0,Zamperla,38.8162,-76.7861
Great Chase,Six Flags New England,Agawam,Massachusetts,Northeast,1996,2:Recent,12,16,Family,Steel,Sit Down,13,337,25,No,0,E&F Miler Industries,42.0695,-72.6148
Great Lego Race,Legoland Florida,Winter Haven,Florida,South,2011,3:Newest,35,51.8,Thrill,Steel,Sit Down,49.8,1312.3,95,No,0,Mack Rides GmbH & Co KG,27.9873,-81.7625
Great Nor'Easter,Morey's Piers,Wildwood,New Jersey,Northeast,1995,2:Recent,55,115,Extreme,Steel,Inverted,95,2170,125,Yes,5,Vekoma,39,-74.8167
Great Pumpkin Coaster,Kings Island,Mason,Ohio,Midwest,1992,2:Recent,NA,8,Family,Steel,Sit Down,8,199.3,52,No,0,E&F Miler Industries,39.3601,-84.3099
Great Pumpkin Coaster,Kings Dominion,Doswell,Virginia,South,1997,2:Recent,NA,8,Family,Steel,Sit Down,8,205,52,No,0,E&F Miler Industries,37.8601,-77.4642
Great White,Morey's Piers,Wildwood,New Jersey,Northeast,1996,2:Recent,50,110,Extreme,Wood,Sit Down,100,3300,120,No,0,"Custom Coasters International, Inc.",39,-74.8167
Great White,SeaWorld San Antonio,San Antonio,Texas,South,1997,2:Recent,50,108,Extreme,Steel,Inverted,81.2,2562,120,Yes,5,Bolliger & Mabillard,29.4684,-98.5289
Green Lantern,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2011,3:Newest,63,154,Extreme,Steel,Stand Up,144,4155,150,Yes,5,Bolliger & Mabillard,40.1052,-74.3528
Griffon,Busch Gardens Williamsburg,Williamsburg,Virginia,South,2007,3:Newest,71,205,Extreme,Steel,Sit Down,205,3108,180,Yes,2,Bolliger & Mabillard,37.3105,-76.7468
Grizzly,California's Great America,Santa Clara,California,West,1986,2:Recent,55,91,Extreme,Wood,Sit Down,88,3250,160,No,0,NA,37.3512,-121.9523
Grizzly,Kings Dominion,Doswell,Virginia,South,1982,2:Recent,50,87,Extreme,Wood,Sit Down,78,3150,150,No,0,NA,37.8601,-77.4642
Grover's Alpine Express,Busch Gardens Williamsburg,Williamsburg,Virginia,South,2009,3:Newest,26.5,24,Family,Steel,Sit Down,NA,600,NA,No,0,Zierer,37.3105,-76.7468
Hades 360,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,Midwest,2005,3:Newest,60,136,Extreme,Wood,Sit Down,140,4746,120,Yes,1,NA,43.6275,-89.771
Hagrid's Magical Creatures Motorbike Adventure,Universal Studios Islands of Adventure,Orlando,Florida,South,2019,3:Newest,50,65,Thrill,Steel,Sit Down,17,5053,165,No,0,Intamin Amusement Rides,28.5452,-81.3733
Half Pipe,Elitch Gardens,Denver,Colorado,West,2004,3:Newest,43.5,98.4,Thrill,Steel,Sit Down,80,229.7,120,No,0,Intamin Amusement Rides,39.7602,-104.9966
Hang Ten,Fantasy Island Amusement Park,Beach Haven,New Jersey,Northeast,2017,3:Newest,NA,14,Family,Steel,Sit Down,NA,180,NA,No,0,SBF Visa Group,39.6411,-74.1922
HangTime,Knott's Berry Farm,Buena Park,California,West,2018,3:Newest,57,150,Extreme,Steel,Sit Down,122,2198,129,Yes,5,Gerstlauer Amusement Rides GmbH,33.8463,-118.01220000000001
Harley Quinn Crazy Train,Six Flags Great Adventure,Jackson,New Jersey,Northeast,1999,2:Recent,22.4,26.3,Family,Steel,Sit Down,25,1181.1,65,No,0,Zierer,40.1052,-74.3528
Harry Potter and the Escape from Gringotts,Universal Studios Florida,Orlando,Florida,South,2014,3:Newest,30,NA,Thrill,Steel,Sit Down,27,2000,300,No,0,Intamin Amusement Rides,28.5452,-81.3733
High Roller,Valleyfair!,Shakopee,Minnesota,Midwest,1976,1:Older,50,70,Extreme,Wood,Sit Down,56,2982,105,No,0,Rauerhorst Corporation,44.7986,-93.5194
"Hollywood Rip, Ride, Rockit",Universal Studios Florida,Orlando,Florida,South,2009,3:Newest,65,167,Extreme,Steel,Sit Down,156,3800,175,No,0,Maurer Rides GmbH,28.5452,-81.3733
Hoosier Hurricane,Indiana Beach,Monticello,Indiana,Midwest,1994,2:Recent,51,77,Thrill,Wood,Sit Down,98,2891,136,No,0,"Custom Coasters International, Inc.",40.7792,-86.7495
Hoot N Holler,Six Flags Darien Lake,Darien Center,New York,Northeast,1981,2:Recent,16.2,10.8,Family,Steel,Sit Down,NA,197.5,NA,No,0,Zierer,42.896,-78.3857
Hornet,Wonderland Amusement Park,Amarillo,Texas,South,2009,3:Newest,NA,27.9,Thrill,Steel,Sit Down,NA,1148.3,90,No,0,Vekoma,35.206,-101.8396
Hot Tamales,Casino Pier,Seaside Heights,New Jersey,Northeast,2003,3:Newest,14.1,11.8,Family,Steel,Sit Down,NA,196.8,109,No,0,L&T Systems,39.9443,-74.0729
Howler,Holiday World,Santa Claus,Indiana,Midwest,1999,2:Recent,NA,13,Family,Steel,Sit Down,8,262.5,25,No,0,Zamperla,38.1176,-86.9286
Humpty Dumpty's Great Fall,Storybook Land,Aberdeen,South Dakota,Midwest,2015,3:Newest,NA,13,Family,Steel,Sit Down,NA,262.5,62,No,0,Zamperla,45.4762,-98.4104
Hurler,Carowinds,Charlotte,North Carolina,South,1994,2:Recent,50,83,Extreme,Wood,Sit Down,80,3157,120,No,0,"International Coasters, Inc.",35.26,-80.8042
Hurricane,Fun Spot America,Kissimmee,Florida,South,2019,3:Newest,55,101.5,Family,Steel,Sit Down,100,1300,120,No,0,E&F Miler Industries,28.3064,-81.4255
Hurricane,Race City PCB,Panama City Beach,Florida,South,2015,3:Newest,35,59,Thrill,Steel,Sit Down,35,1427,86,No,0,S.D.C.,30.3103,-85.9053
Hurricane,Western Playland,Sunland Park,New Mexico,West,2013,3:Newest,35,50,Thrill,Steel,Sit Down,30,1430,50,No,0,S.D.C.,31.7965,-106.58
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,Northeast,2005,3:Newest,53,95,Extreme,Steel,Sit Down,105,3198,155,Yes,7,Bolliger & Mabillard,40.6027,-75.4692
Hydrus,Casino Pier,Seaside Heights,New Jersey,Northeast,2017,3:Newest,45,72,Extreme,Steel,Sit Down,70,1050,73,Yes,3,Gerstlauer Amusement Rides GmbH,39.9443,-74.0729
Ice Mountain Bobsled,Enchanted Forest,Turner,Oregon,West,1983,2:Recent,35,55,Family,Steel,Sit Down,NA,1600,150,No,0,Ascot Design,44.7952,-122.9422
Impulse,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,2015,3:Newest,55,98,Extreme,Steel,Sit Down,92,1975,103,Yes,4,Zierer,40.8594,-76.5508
Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,South,1999,2:Recent,67,110,Extreme,Steel,Sit Down,104.9,3700,135,Yes,7,Bolliger & Mabillard,28.5452,-81.3733
Incredible Spin Coaster,St. Louis's Incredible Pizza Company,St. Louis,Missouri,Midwest,2016,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,38.6315,-90.1923
Incredible Spinning Roller Coaster,Incredible Pizza Company,Cordova,Tennessee,South,2015,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,35.1385,-89.76
Incredicoaster,Disney California Adventure Park,Anaheim,California,West,2001,3:Newest,55,120,Extreme,Steel,Sit Down,108,6072,156,Yes,1,Intamin Amusement Rides,33.845,-117.9522
Intimidator,Carowinds,Charlotte,North Carolina,South,2010,3:Newest,75,232,Extreme,Steel,Sit Down,211,5316,213,No,0,Bolliger & Mabillard,35.26,-80.8042
Intimidator 305,Kings Dominion,Doswell,Virginia,South,2010,3:Newest,90,305,Extreme,Steel,Sit Down,300,5100,180,No,0,Intamin Amusement Rides,37.8601,-77.4642
InvadR,Busch Gardens Williamsburg,Williamsburg,Virginia,South,2017,3:Newest,48,74,Thrill,Wood,Sit Down,74,2118,148,No,0,Great Coasters International,37.3105,-76.7468
Invertigo,Kings Island,Mason,Ohio,Midwest,1999,2:Recent,50,131.3,Extreme,Steel,Inverted,138,1013.8,90,Yes,3,Vekoma,39.3601,-84.3099
Iron Dragon,Cedar Point,Sandusky,Ohio,Midwest,1987,2:Recent,40,76,Thrill,Steel,Suspended,60,2800,120,No,0,Arrow Dynamics,41.3991,-82.7244
Iron Rattler,Six Flags Fiesta Texas,San Antonio,Texas,South,2013,3:Newest,70,179,Extreme,Steel,Sit Down,171,3266,112,Yes,1,Rocky Mountain Construction,29.4684,-98.5289
Iron Shark,Galveston Island Historic Pleasure Pier,Galveston,Texas,South,2012,3:Newest,52,100,Extreme,Steel,Sit Down,97,1246,60,Yes,3,Gerstlauer Amusement Rides GmbH,29.3105,-94.7758
Jack Rabbit,Seabreeze,Rochester,New York,Northeast,1920,1:Older,50,60,Kiddie,Wood,Sit Down,75,2130,115,No,0,NA,43.286,-77.6843
Jack Rabbit,Kennywood,West Mifflin,Pennsylvania,Northeast,1920,1:Older,45,40,Thrill,Wood,Sit Down,70,2132,96,No,0,NA,40.3625,-79.8984
Jaguar!,Knott's Berry Farm,Buena Park,California,West,1995,2:Recent,35,65,Family,Steel,Sit Down,45,2602,120,No,0,Zierer,33.8463,-118.01220000000001
Jet Star 2,Lagoon,Farmington,Utah,West,1976,1:Older,45,44.3,Thrill,Steel,Sit Down,42,1919.3,90,No,0,Schwarzkopf,40.9691,-111.9073
Joker,Six Flags Discovery Kingdom,Vallejo,California,West,2016,3:Newest,53,100,Extreme,Steel,Sit Down,96,3200,101,Yes,3,Rocky Mountain Construction,38.1874,-122.2241
Joker,Six Flags Great America,Gurnee,Illinois,Midwest,2017,3:Newest,38,120,Extreme,Steel,Wing,54,1019,60,No,0,S&S Sansei Technologies,42.3751,-87.9397
Joker,Six Flags New England,Agawam,Massachusetts,Northeast,2017,3:Newest,38,120,Extreme,Steel,Wing,54,1019,60,No,0,S&S Sansei Technologies,42.0695,-72.6148
Joker,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2016,3:Newest,38,120,Extreme,Steel,Wing,54,1019,60,No,0,S&S Sansei Technologies,40.1052,-74.3528
Joker,Six Flags Over Texas,Arlington,Texas,South,2017,3:Newest,38,120,Extreme,Steel,Wing,54,1019,60,No,0,S&S Sansei Technologies,32.6356,-97.1488
Joker Funhouse Coaster,Six Flags Over Georgia,Austell,Georgia,South,2004,3:Newest,30,28,Family,Steel,Sit Down,22,900,88,No,0,Chance Rides,33.8369,-84.6307
Joker's Jinx,Six Flags America,Upper Marlboro,Maryland,South,1999,2:Recent,60,78.8,Extreme,Steel,Sit Down,NA,2705,56,Yes,4,Premier Rides,38.8162,-76.7861
